출동서센터,출동차수,차량호수,차량동태,진행일시,관제일련번호,관제진행일시,관제내역
도원119안전센터,1,1000000723,출동보고,2024-08-01 0:16,4,2024-08-01 0:16,[도원119-도원펌프(호)(펌프차)][AVL 입력자(도원펌프(호))]출동보고
도원119안전센터,1,1000000723,현장도착보고,2024-08-01 0:22,7,2024-08-01 0:22,[도원119-도원펌프(호)(펌프차)][AVL 입력자(도원펌프(호))]현장도착보고
강서구조대,1,1000000752,현장도착보고,2024-08-01 0:33,9,2024-08-01 0:33,[강서구조대-강서구조버스(구조대차)]현장도착보고
강서구조대,1,1000000754,출동보고,2024-08-01 0:18,4,2024-08-01 0:18,[강서구조대-강서구조공작(구조대차)][AVL 입력자(강서구조공작)]출동보고
강서구조대,1,1000000754,현장도착보고,2024-08-01 0:31,7,2024-08-01 0:31,[강서구조대-강서구조공작(구조대차)][AVL 입력자(강서구조공작)]현장도착보고
다사119안전센터,1,1000001238,현장도착보고,2024-08-01 0:31,8,2024-08-01 0:31,[다사119-다사펌프(카)(펌프차)][AVL 입력자(다사펌프(카))]현장도착보고
다사119안전센터,1,1000001238,출동보고,2024-08-01 0:18,5,2024-08-01 0:18,[다사119-다사펌프(카)(펌프차)][AVL 입력자(다사펌프(카))]출동보고
대명119지역대,1,1000001072,현장도착보고,2024-08-01 0:27,9,2024-08-01 0:27,[대명지역대-대명구급(구급차)][AVL 입력자(대명구급)]현장도착보고
대명119지역대,1,1000001072,출동보고,2024-08-01 0:21,6,2024-08-01 0:21,[대명지역대-대명구급(구급차)][AVL 입력자(대명구급)]출동보고
대명119지역대,2,1000001209,출동보고,2024-08-01 0:21,7,2024-08-01 0:21,[대명지역대-대명펌프(카)(펌프차)][AVL 입력자(대명펌프(카))]출동보고
대명119지역대,2,1000001209,현장도착보고,2024-08-01 0:30,10,2024-08-01 0:30,[대명지역대-대명펌프(카)(펌프차)][AVL 입력자(대명펌프(카))]현장도착보고
대천119안전센터,1,1000001160,출동보고,2024-08-01 0:24,5,2024-08-01 0:24,[대천119-대천구급(구급차)][AVL 입력자(대천구급)]출동보고
대천119안전센터,1,1000001160,현장도착보고,2024-08-01 0:30,6,2024-08-01 0:30,[대천119-대천구급(구급차)][AVL 입력자(대천구급)]현장도착보고
읍내119안전센터,1,1000001207,출동보고,2024-08-01 0:29,6,2024-08-01 0:29,[읍내119-읍내구급(구급차)][AVL 입력자(읍내구급)]출동보고
읍내119안전센터,1,1000001207,현장도착보고,2024-08-01 0:31,7,2024-08-01 0:31,[읍내119-읍내구급(구급차)][AVL 입력자(읍내구급)]현장도착보고
상동119안전센터,1,1000000965,현장도착보고,2024-08-01 0:32,6,2024-08-01 0:32,[상동119-상동구급(수성예비)(구급차)][AVL 입력자(상동구급(수성예비))]현장도착보고
상동119안전센터,1,1000000965,출동보고,2024-08-01 0:30,5,2024-08-01 0:30,[상동119-상동구급(수성예비)(구급차)][AVL 입력자(상동구급(수성예비))]출동보고
이현119안전센터,1,1000001150,현장도착보고,2024-08-01 0:38,8,2024-08-01 0:38,[이현119-이현구급(구급차)][AVL 입력자(이현구급)]현장도착보고
강북구급대,1,1000001208,출동보고,2024-08-01 0:40,5,2024-08-01 0:40,[강북구급대-강북본대1차(구급차)][AVL 입력자(강북본대1차)]출동보고
강북구급대,1,1000001208,현장도착보고,2024-08-01 0:42,6,2024-08-01 0:42,[강북구급대-강북본대1차(구급차)][AVL 입력자(강북본대1차)]현장도착보고
무태119안전센터,1,1000000993,출동보고,2024-08-01 0:47,4,2024-08-01 0:47,[무태119-무태구급(구급차)][AVL 입력자(무태구급)]출동보고
무태119안전센터,1,1000000993,현장도착보고,2024-08-01 0:50,5,2024-08-01 0:50,[무태119-무태구급(구급차)][AVL 입력자(무태구급)]현장도착보고
옥포119안전센터,1,1000001069,출동보고,2024-08-01 0:49,4,2024-08-01 0:49,[옥포119-옥포구급(구급차)][AVL 입력자(옥포구급)]출동보고
옥포119안전센터,1,1000001069,현장도착보고,2024-08-01 0:52,5,2024-08-01 0:52,[옥포119-옥포구급(구급차)][AVL 입력자(옥포구급)]현장도착보고
황금119안전센터,1,1000001164,출동보고,2024-08-01 0:58,3,2024-08-01 0:58,[황금119-황금구급(구급차)][AVL 입력자(황금구급)]출동보고
황금119안전센터,1,1000001164,현장도착보고,2024-08-01 1:04,4,2024-08-01 1:04,[황금119-황금구급(구급차)][AVL 입력자(황금구급)]현장도착보고
침산119안전센터,1,1000001024,출동보고,2024-08-01 1:21,5,2024-08-01 1:21,[침산119-침산구급(구급차)][AVL 입력자(침산구급)]출동보고
침산119안전센터,1,1000001024,현장도착보고,2024-08-01 1:24,6,2024-08-01 1:24,[침산119-침산구급(구급차)][AVL 입력자(침산구급)]현장도착보고
본리119안전센터,1,1000001029,출동보고,2024-08-01 1:25,3,2024-08-01 1:25,[본리119-본리구급(구급차)][AVL 입력자(본리구급)]출동보고
본리119안전센터,1,1000001029,현장도착보고,2024-08-01 1:29,5,2024-08-01 1:29,[본리119-본리구급(구급차)][AVL 입력자(본리구급)]현장도착보고
무태119안전센터,1,1000001184,현장도착보고,2024-08-01 1:43,5,2024-08-01 1:43,[무태119-무태펌프(구암2차)(펌프차)][AVL 입력자(무태펌프(구암2차))]현장도착보고
무태119안전센터,1,1000001184,출동보고,2024-08-01 1:29,4,2024-08-01 1:29,[무태119-무태펌프(구암2차)(펌프차)][AVL 입력자(무태펌프(구암2차))]출동보고
달서구급대,1,1000001255,현장도착보고,2024-08-01 1:32,10,2024-08-01 1:32,[달서구급대-달서본대1차(구급차)][AVL 입력자(달서본대1차)]현장도착보고
달서구급대,1,1000001255,출동보고,2024-08-01 1:28,6,2024-08-01 1:28,[달서구급대-달서본대1차(구급차)][AVL 입력자(달서본대1차)]출동보고
무열로119안전센터,1,1000001025,현장도착보고,2024-08-01 1:32,4,2024-08-01 1:32,[무열로119-무열로구급(구급차)][AVL 입력자(무열로구급)]현장도착보고
무열로119안전센터,1,1000001025,출동보고,2024-08-01 1:29,3,2024-08-01 1:29,[무열로119-무열로구급(구급차)][AVL 입력자(무열로구급)]출동보고
내당119안전센터,1,1000001038,현장도착보고,2024-08-01 1:37,6,2024-08-01 1:37,[내당119-내당구급(구급차)][AVL 입력자(내당구급)]현장도착보고
내당119안전센터,1,1000001038,출동보고,2024-08-01 1:34,5,2024-08-01 1:34,[내당119-내당구급(구급차)][AVL 입력자(내당구급)]출동보고
동부구조대,1,1000000580,출동보고,2024-08-01 1:49,6,2024-08-01 1:49,[동부구조대-동부구조공작(구조대차)][AVL 입력자(동부구조공작)]출동보고
