"효목2동","총인구수 (명)",361,308,1293,1003,759,454,296,117,18,2
"효목2동","남자인구수 (명)",189,150,586,401,305,183,101,36,5,0
"효목2동","여자인구수 (명)",172,158,707,602,454,271,195,81,13,2
"도평동","총인구수 (명)",34,29,375,299,221,176,92,42,9,0
"도평동","남자인구수 (명)",11,12,193,150,92,74,31,12,1,0
"도평동","여자인구수 (명)",23,17,182,149,129,102,61,30,8,0
"불로.봉무동","총인구수 (명)",420,772,1553,1113,767,464,273,96,23,2
"불로.봉무동","남자인구수 (명)",235,382,724,534,329,194,85,27,3,2
"불로.봉무동","여자인구수 (명)",185,390,829,579,438,270,188,69,20,0
"지저동","총인구수 (명)",124,193,1543,1148,799,491,291,88,12,2
"지저동","남자인구수 (명)",67,95,704,543,364,192,91,25,0,0
"지저동","여자인구수 (명)",57,98,839,605,435,299,200,63,12,2
"동촌동","총인구수 (명)",161,282,1484,1152,779,582,335,100,19,3
"동촌동","남자인구수 (명)",68,146,708,553,328,238,114,31,4,1
"동촌동","여자인구수 (명)",93,136,776,599,451,344,221,69,15,2
"방촌동","총인구수 (명)",185,276,1905,1433,1039,708,455,198,24,6
"방촌동","남자인구수 (명)",101,165,850,649,441,286,151,62,5,0
"방촌동","여자인구수 (명)",84,111,1055,784,598,422,304,136,19,6
"해안동","총인구수 (명)",170,197,1417,1152,877,585,331,120,20,4
"해안동","남자인구수 (명)",87,91,672,497,391,234,109,24,3,1
"해안동","여자인구수 (명)",83,106,745,655,486,351,222,96,17,3
"안심1동","총인구수 (명)",634,1182,3368,2620,1724,1093,693,243,41,6
"안심1동","남자인구수 (명)",327,600,1477,1186,727,439,208,55,7,1
"안심1동","여자인구수 (명)",307,582,1891,1434,997,654,485,188,34,5
"안심2동","총인구수 (명)",675,511,1294,965,681,397,209,86,18,3
"안심2동","남자인구수 (명)",358,243,633,430,292,160,80,29,2,0
"안심2동","여자인구수 (명)",317,268,661,535,389,237,129,57,16,3
"안심3동","총인구수 (명)",543,794,1064,875,732,449,285,99,15,2
"안심3동","남자인구수 (명)",268,425,475,345,324,187,105,28,4,0
"안심3동","여자인구수 (명)",275,369,589,530,408,262,180,71,11,2
"안심4동","총인구수 (명)",532,794,2010,1446,975,667,361,129,26,2
"안심4동","남자인구수 (명)",269,413,905,658,448,261,125,31,1,2
"안심4동","여자인구수 (명)",263,381,1105,788,527,406,236,98,25,0
"혁신동","총인구수 (명)",509,1043,819,637,408,224,119,44,6,1
"혁신동","남자인구수 (명)",266,566,354,310,164,96,39,9,1,0
"혁신동","여자인구수 (명)",243,477,465,327,244,128,80,35,5,1
"공산동","총인구수 (명)",428,558,1949,1579,1158,801,514,235,39,4
"공산동","남자인구수 (명)",204,294,972,737,553,320,157,66,6,0
"공산동","여자인구수 (명)",224,264,977,842,605,481,357,169,33,4
"서구","총인구수 (명)",3248,3556,16684,12810,8865,5776,3292,1090,199,23
"서구","남자인구수 (명)",1679,1831,7832,5572,3822,2229,1057,260,23,1
"서구","여자인구수 (명)",1569,1725,8852,7238,5043,3547,2235,830,176,22
"내당1동","총인구수 (명)",540,494,1098,735,528,322,207,63,14,1
"내당1동","남자인구수 (명)",282,244,525,321,244,135,71,15,2,0
"내당1동","여자인구수 (명)",258,250,573,414,284,187,136,48,12,1
"내당2.3동","총인구수 (명)",61,89,936,787,583,376,255,62,13,1
"내당2.3동","남자인구수 (명)",29,47,415,319,219,141,71,12,2,0
"내당2.3동","여자인구수 (명)",32,42,521,468,364,235,184,50,11,1
"내당4동","총인구수 (명)",95,198,1528,1191,824,513,309,126,22,4
"내당4동","남자인구수 (명)",53,104,659,521,354,207,101,25,4,0
"내당4동","여자인구수 (명)",42,94,869,670,470,306,208,101,18,4
"비산1동","총인구수 (명)",46,90,878,749,540,344,195,56,12,0
"비산1동","남자인구수 (명)",23,45,437,313,213,130,70,15,0,0
"비산1동","여자인구수 (명)",23,45,441,436,327,214,125,41,12,0
"비산2.3동","총인구수 (명)",26,84,972,779,583,474,277,97,13,2
"비산2.3동","남자인구수 (명)",15,45,470,317,212,168,81,22,2,0
"비산2.3동","여자인구수 (명)",11,39,502,462,371,306,196,75,11,2
"비산4동","총인구수 (명)",40,100,966,770,503,369,195,64,7,1
"비산4동","남자인구수 (명)",20,46,421,338,203,141,54,14,2,0
"비산4동","여자인구수 (명)",20,54,545,432,300,228,141,50,5,1
"비산5동","총인구수 (명)",25,58,578,515,381,280,147,56,7,0
"비산5동","남자인구수 (명)",12,34,281,207,163,104,48,10,0,0
"비산5동","여자인구수 (명)",13,24,297,308,218,176,99,46,7,0
"비산6동","총인구수 (명)",31,73,823,555,419,291,156,58,10,2
"비산6동","남자인구수 (명)",15,31,356,245,182,97,53,25,1,1
"비산6동","여자인구수 (명)",16,42,467,310,237,194,103,33,9,1
"비산7동","총인구수 (명)",145,144,987,760,540,356,207,43,15,2
"비산7동","남자인구수 (명)",73,82,501,347,246,153,73,8,1,0
"비산7동","여자인구수 (명)",72,62,486,413,294,203,134,35,14,2
"평리1동","총인구수 (명)",42,72,739,608,383,301,164,53,8,3
"평리1동","남자인구수 (명)",24,37,366,252,174,97,54,10,0,0
"평리1동","여자인구수 (명)",18,35,373,356,209,204,110,43,8,3
"평리2동","총인구수 (명)",72,173,721,551,361,232,110,31,3,1
"평리2동","남자인구수 (명)",43,82,335,250,157,87,38,9,1,0
"평리2동","여자인구수 (명)",29,91,386,301,204,145,72,22,2,1
"평리3동","총인구수 (명)",366,375,1152,842,574,358,224,62,13,2
"평리3동","남자인구수 (명)",183,203,562,368,253,136,69,20,0,0
"평리3동","여자인구수 (명)",183,172,590,474,321,222,155,42,13,2
"평리4동","총인구수 (명)",178,321,1552,1170,765,471,232,88,20,0
"평리4동","남자인구수 (명)",97,165,720,525,355,184,74,21,3,0
"평리4동","여자인구수 (명)",81,156,832,645,410,287,158,67,17,0
"평리5동","총인구수 (명)",919,602,522,358,253,148,62,20,2,2
"평리5동","남자인구수 (명)",472,303,248,151,114,65,24,6,0,0
"평리5동","여자인구수 (명)",447,299,274,207,139,83,38,14,2,2
"평리6동","총인구수 (명)",248,107,503,363,210,134,53,24,5,0
"평리6동","남자인구수 (명)",125,56,268,172,95,52,24,3,1,0
"평리6동","여자인구수 (명)",123,51,235,191,115,82,29,21,4,0
"상중이동","총인구수 (명)",164,360,1846,1324,901,458,301,114,27,1
"상중이동","남자인구수 (명)",90,196,843,601,414,185,96,22,3,0
"상중이동","여자인구수 (명)",74,164,1003,723,487,273,205,92,24,1
"원대동","총인구수 (명)",250,216,883,753,517,349,198,73,8,1
"원대동","남자인구수 (명)",123,111,425,325,224,147,56,23,1,0
"원대동","여자인구수 (명)",127,105,458,428,293,202,142,50,7,1
"남구","총인구수 (명)",2746,2833,12376,10097,7556,5228,3421,1266,235,24
"남구","남자인구수 (명)",1406,1479,5583,4386,3114,1981,1146,368,39,3
"남구","여자인구수 (명)",1340,1354,6793,5711,4442,3247,2275,898,196,21
"이천동","총인구수 (명)",490,428,974,836,701,565,386,136,39,5
"이천동","남자인구수 (명)",232,238,420,330,272,198,123,40,8,1
"이천동","여자인구수 (명)",258,190,554,506,429,367,263,96,31,4
"봉덕1동","총인구수 (명)",74,87,786,609,463,304,281,105,12,2
"봉덕1동","남자인구수 (명)",39,49,371,279,176,107,97,27,1,0
"봉덕1동","여자인구수 (명)",35,38,415,330,287,197,184,78,11,2
"봉덕2동","총인구수 (명)",437,493,1041,865,645,445,298,145,21,3
"봉덕2동","남자인구수 (명)",243,250,469,391,284,190,107,50,4,0
"봉덕2동","여자인구수 (명)",194,243,572,474,361,255,191,95,17,3
"봉덕3동","총인구수 (명)",163,261,1378,1106,813,603,408,162,28,2
"봉덕3동","남자인구수 (명)",81,129,590,462,349,229,151,63,4,0
"봉덕3동","여자인구수 (명)",82,132,788,644,464,374,257,99,24,2
"대명1동","총인구수 (명)",77,128,894,724,539,336,210,70,10,2
"대명1동","남자인구수 (명)",47,73,403,334,222,141,74,18,2,1
"대명1동","여자인구수 (명)",30,55,491,390,317,195,136,52,8,1
"대명2동","총인구수 (명)",468,364,957,726,606,405,240,90,14,1
"대명2동","남자인구수 (명)",237,187,451,304,243,145,69,18,2,0
"대명2동","여자인구수 (명)",231,177,506,422,363,260,171,72,12,1
"대명3동","총인구수 (명)",194,165,989,843,669,421,255,89,24,1
"대명3동","남자인구수 (명)",102,85,466,363,258,154,76,22,5,0
"대명3동","여자인구수 (명)",92,80,523,480,411,267,179,67,19,1
"대명4동","총인구수 (명)",73,125,1040,843,570,390,250,79,13,2
"대명4동","남자인구수 (명)",39,69,474,362,246,143,73,22,0,0
"대명4동","여자인구수 (명)",34,56,566,481,324,247,177,57,13,2
"대명5동","총인구수 (명)",320,206,553,420,320,224,139,48,16,1
"대명5동","남자인구수 (명)",162,107,238,186,122,94,52,11,5,0
"대명5동","여자인구수 (명)",158,99,315,234,198,130,87,37,11,1
"대명6동","총인구수 (명)",210,233,858,743,508,314,201,88,15,2
"대명6동","남자인구수 (명)",111,113,379,345,220,122,59,32,0,1
"대명6동","여자인구수 (명)",99,120,479,398,288,192,142,56,15,1
"대명9동","총인구수 (명)",127,180,1252,951,722,507,286,104,16,0
"대명9동","남자인구수 (명)",63,102,595,426,318,197,108,31,3,0
